form,rtol,N,a1,a2,omega1,omega2,phi1,phi2,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,8.8,17.6,0.0,0.7853981633974483,(-0.02426415559957832-2.9253602315298016e-07j),(-0.01806418619807132-4.3747438886670594e-11j),(0.3991409260619922+0.002715014187013369j),(-0.006294559194158481-0.022555268841352373j),(0.023719812487884427-1.461572159334521e-10j),(-0.28754125305744116+0.13936776069191908j),(-0.01815186482658303+0.005059927479139242j),(-0.02340124237791834-1.5040839934848792e-10j),(-0.033107153896676095+0.22301383894486215j),(-0.026644197686204348+0.03918343663407453j),(0.019656267110510526-3.005168797508481e-11j)
DS-p,1e-11,51,35.0,35.0,8.9,17.8,0.0,0.7853981633974483,(-0.02759330759230007-1.4056334143991709e-05j),(-0.02092108545003185-4.4080314941637915e-11j),(0.40135592182896446+0.002791563948843104j),(-0.005562641022884409-0.023681613048596638j),(0.026708172888432982-1.410497815669566e-10j),(-0.2928453271204735+0.15105166339949144j),(-0.01917121760762802+0.004310649550153886j),(-0.024633174586735855-1.441958991071937e-10j),(-0.039033773209400754+0.2351728585423488j),(-0.026725379667328138+0.03856636939747365j),(0.020632471187185343-3.209880134981903e-11j)
DS-p,1e-11,51,35.0,35.0,9.0,18.0,0.0,0.7853981633974483,(-0.03080738549192795-2.7605746800607425e-05j),(-0.02365947407611746-4.4322761831945386e-11j),(0.4027353095942726+0.0028476302001800525j),(-0.0047846849600597305-0.024880782214963836j),(0.029744874154413792-1.3593020703627922e-10j),(-0.29740168609564877+0.16246613804655474j),(-0.02016363920390533+0.003557537973847975j),(-0.025979609711260038-1.3861332463142815e-10j),(-0.04521625380129699+0.24694501756651208j),(-0.026791559561438506+0.03794967303383301j),(0.021563470734715973-3.36338828041129e-11j)
DS-p,1e-11,51,35.0,35.0,9.1,18.2,0.0,0.7853981633974483,(-0.03390451286076363-4.081271180143135e-05j),(-0.026264136202384252-4.473505296358606e-11j),(0.4033217129602102+0.0028843410193025443j),(-0.003978975758560992-0.026140819245199946j),(0.03280244596366097-1.322711038115581e-10j),(-0.30124338179125854+0.17356136459808827j),(-0.021129195986703323+0.0028042912318462605j),(-0.027428739345798384-1.3447063035526838e-10j),(-0.05162971471459094+0.2583341011259258j),(-0.0268431992809351+0.03733459379699777j),(0.02244987574419539-3.52046312108949e-11j)
DS-p,1e-11,51,35.0,35.0,9.2,18.4,0.0,0.7853981633974483,(-0.03688359670314802-5.357066162469993e-05j),(-0.02872258121994446-4.5103213893884765e-11j),(0.4031572652267499+0.0029029113163096783j),(-0.0031616718207783025-0.02744916921727201j),(0.035855225799566535-1.2905559941849083e-10j),(-0.3044061464686935+0.18429411948860797j),(-0.02206797018982335+0.002054252143006703j),(-0.028968091281261574-1.3029278058142088e-10j),(-0.058250851976151895+0.26934495768742256j),(-0.02688079782372742+0.036722227637533286j),(0.02329244159956421-3.557644567750522e-11j)
DS-p,1e-11,51,35.0,35.0,9.3,18.6,0.0,0.7853981633974483,(-0.0397442379810478-6.579270824445356e-05j),(-0.03102484896858816-4.343977819309607e-11j),(0.40228340081085723+0.002904615174483229j),(-0.002346820704316468-0.028793014201103414j),(0.038879478207491394-1.21044674309378e-10j),(-0.3069276612914214+0.194627436625155j),(-0.022980063176384326+0.0013104204019471041j),(-0.030584800219799636-1.2228091356428123e-10j),(-0.06505788410647248+0.27998332299082157j),(-0.02690488095418005+0.03611353263249799j),(0.024092042619547407-3.470501753035026e-11j)
DS-p,1e-11,51,35.0,35.0,9.4,18.8,0.0,0.7853981633974483,(-0.04248664847712376-7.741001518222327e-05j),(-0.03316330606312795-4.370849265968341e-11j),(0.40074067726988644+0.002890761362547739j),(-0.0015464193373506505-0.03015956090665622j),(0.04185346853962411-1.1925390520134003e-10j),(-0.30884691153027916+0.20453023427160436j),(-0.023865597905152813+0.0005754672807165837j),(-0.03226584707479664-1.195932239814288e-10j),(-0.07203049053539827+0.2902556627460645j),(-0.026915992278264217+0.035509341120615975j),(0.024849648987629633-3.483632488369804e-11j)
DS-p,1e-11,51,35.0,35.0,9.5,19.0,0.0,0.7853981633974483,(-0.045111573735466155-8.836978791409135e-05j),(-0.03513243885310212-4.3844987632048684e-11j),(0.3985686261167733+0.002862672006210186j),(-0.0007705083871778803-0.031536282064807436j),(0.0447574976105622-1.1806855960974333e-10j),(-0.31020362375613864+0.21397691977590266j),(-0.024724720449949448-0.00014824811923589397j),(-0.03399826643819393-1.1739663409203246e-10j),(-0.07914974489054873+0.30016903308255216j),(-0.02691468573650896+0.03491037164696638j),(0.02556630659716743-3.512572424027651e-11j)
DS-p,1e-11,51,35.0,35.0,9.6,19.2,0.0,0.7853981633974483,(-0.047620221970837984-9.863372942387155e-05j),(-0.03692864737703225-4.455032913628627e-11j),(0.3958056304138604+0.002821664343455496j),(-2.72918158812006e-05-0.03291111465547792j),(0.04757390228395334-1.1755374712267284e-10j),(-0.3110377796996189+0.22294698232682955j),(-0.025557601068077286-0.000858661351363734j),(-0.0357693235487968-1.157335861291731e-10j),(-0.08639804519602014+0.3097309575517424j),(-0.026901519371905807+0.03431724027758779j),(0.026243119599870426-3.540426538052728e-11j)
DS-p,1e-11,51,35.0,35.0,9.7,19.4,0.0,0.7853981633974483,(-0.05001419902852973-0.0001081762055400164j),(-0.0385500437695965-4.565715354906309e-11j),(0.3924888268897004+0.00276903523604774j),(0.0006767264016811269-0.03427261758307969j),(0.0502870276990298-1.1890668242656232e-10j),(-0.3113892008452158+0.23142458213870318j),(-0.0263644345954425-0.001553984329122305j),(-0.03756666209268798-1.1579158026411099e-10j),(-0.0937590425363111+0.3189493195375814j),(-0.026877050246224755+0.033730471326094386j),(0.026881235391782284-3.5935865418767635e-11j)
DS-p,1e-11,51,35.0,35.0,9.8,19.6,0.0,0.7853981633974483,(-0.05229544883765556-0.00011698272439578924j),(-0.039996257950567785-4.622722851769571e-11j),(0.3886540305409423+0.0027060484549622722j),(0.0013365949409814145-0.035610092724738675j),(0.0528831759964595-1.1999939700892322e-10j),(-0.3112971979778869+0.2393981430513786j),(-0.02714544030662141-0.00223268665093843j),(-0.03937842476351815-1.1498362795290013e-10j),(-0.10121756930335604+0.3278322686457397j),(-0.026841830218031628+0.03315050733959886j),(0.027481831722391433-3.643831145033614e-11j)
DS-p,1e-11,51,35.0,35.0,9.9,19.8,0.0,0.7853981633974483,(-0.05446619935156256-0.00012504840994106222j),(-0.041268252533627994-4.582313365829388e-11j),(0.3843356795399206+0.0026339243778927286j),(0.0019487626964485544-0.03691367324041984j),(0.05535053607230986-1.183457416625651e-10j),(-0.3108002796118664+0.24685995421760645j),(-0.027900861425899346-0.002893476786748112j),(-0.041193348840359204-1.117553977352236e-10j),(-0.10875956834885728+0.3363881399656588j),(-0.026796402638121906+0.03257771830533682j),(0.02804610570102409-3.6192915898902124e-11j)
DS-p,1e-11,51,35.0,35.0,10.0,20.0,0.0,0.7853981633974483,(-0.056528913713790756-0.00013237657874799372j),(-0.04236814842779548-4.455174616082281e-11j),(0.3795667980592957+0.00255383184792172j),(0.0025109256259032804-0.03817438296278222j),(0.05767909867921268-1.1401116571227356e-10j),(-0.3099359134648383+0.2538057851290352j),(-0.02863096430079911-0.0035352833735358543j),(-0.04300083910929489-1.0748713297068179e-10j),(-0.11637202349884578+0.34462538478534466j),(-0.026741299797950313+0.032012410139524224j),(0.028575264452307167-3.5718412658899216e-11j)
DS-p,1e-11,51,35.0,35.0,10.1,20.2,0.0,0.7853981633974483,(-0.05848624624399308-0.00013897755889074275j),(-0.04329906208683573-4.549383626788076e-11j),(0.37437897520398966+0.0024668820698370594j),(0.0030218764617141913-0.039384170917653456j),(0.059860560311328546-1.1608229059597898e-10j),(-0.3087403353596604+0.260234517422747j),(-0.0293360373018962-0.004157236938751105j),(-0.044791020625629736-1.0824636879514075e-10j),(-0.12404289241838909+0.3525525115672833j),(-0.026677040861097494+0.03145483229116274j),(0.029070517271484398-3.654397222490706e-11j)
DS-p,1e-11,51,35.0,35.0,10.2,20.4,0.0,0.7853981633974483,(-0.06034100308969942-0.00014486733570871706j),(-0.04406495494283107-4.525541328673795e-11j),(0.36880235780390835+0.0023741241446890767j),(0.003481360004136392-0.04053592439017738j),(0.06188821937731306-1.146018215697315e-10j),(-0.30724840001565945+0.26614779587220155j),(-0.030016389422987393-0.004758652157625099j),(-0.04655477365699585-1.0542190914087128e-10j),(-0.1317610419910124+0.360178036104339j),(-0.026604130376744316+0.030905184734397087j),(0.029533069006138807-3.6070675739002804e-11j)
DS-p,1e-11,51,35.0,35.0,10.3,20.6,0.0,0.7853981633974483,(-0.062096107178038755-0.000150066616826202j),(-0.04467049520094491-4.479953159180726e-11j),(0.3628656553011888+0.0022765422218634134j),(0.0038899357080664355-0.041623464576273625j),(0.06375686729822233-1.1370054064723058e-10j),(-0.3054934687722493+0.27154970012330876j),(-0.030672348981430703-0.005339010725161716j),(-0.04828375317173458-1.0320887948139213e-10j),(-0.13951618672773689+0.3675104397674582j),(-0.02652305729037423+0.03036362413183271j),(0.029964114560937304-3.625371904575956e-11j)
DS-p,1e-11,51,35.0,35.0,10.4,20.8,0.0,0.7853981633974483,(-0.06375456715591055-0.0001545999288978018j),(-0.045120931938671824-4.594544214150808e-11j),(0.3565961548968919+0.002175053849243777j),(0.004248849313673067-0.04264152747037946j),(0.06546267687309146-1.1714987495721306e-10j),(-0.3035073293835304+0.2764464382455876j),(-0.03130426199695024-0.005897945082793501j),(-0.04997039520359519-1.0536679078778861e-10j),(-0.14729883027626228+0.37455813473367144j),(-0.026434294174816162+0.02983026936014769j),(0.03036483435823282-3.7751910405713676e-11j)
DS-p,1e-11,51,35.0,35.0,10.5,21.0,0.0,0.7853981633974483,(-0.06531944999100034-0.0001584946201294413j),(-0.04542198126161115-4.552365468471092e-11j),(0.3500197453209673+0.002070509480230508j),(0.004559914283344357-0.04358573305936801j),(0.06700309020734169-1.1700506774161968e-10j),(-0.3013201436152814+0.28084606247751476j),(-0.031912490565848974-0.006435223015304355j),(-0.05160791192193632-1.0380694778092976e-10j),(-0.1551002102163665+0.3813294354359767j),(-0.026338296754979305+0.02930520646965333j),(0.030736390590721828-3.8241940989835615e-11j)
