"form","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"OSC-mathematica",35,11.299999999999974,1.0471975511965976,51,0.2631447301622402-0.1306471081096172*I,-0.009995289516118456-1.7227423945823338*^-7*I,0.004850139003871538-5.686128279626222*^-9*I,0.006431871052672073+0.032092330756602436*I,0.0048501390038679995+1.0329574390573075*^-8*I
"OSC-mathematica",35,11.399999999999974,1.0471975511965976,51,0.25263764274104816-0.13309760447619404*I,-0.010990091832305938-2.2062080774792947*^-7*I,0.00534921315875193-1.3213364536817286*^-8*I,0.0061546257764399735+0.032329736412168894*I,0.0053492131587511565+2.1361608372108212*^-9*I
"OSC-mathematica",35,11.499999999999973,1.0471975511965976,51,0.24210482549235338-0.13495959117143613*I,-0.011855735705249218-3.066239020115423*^-7*I,0.005782265386316793-1.651610236936785*^-8*I,0.005911502960896921+0.032563954826436974*I,0.005782265386232988-1.6846955065073306*^-9*I
"OSC-mathematica",35,11.599999999999973,1.0471975511965976,51,0.23157707782411438-0.13624960048785345*I,-0.012596108184270621-2.6434367773572265*^-7*I,0.006152376404674236-1.2253111690955349*^-8*I,0.005702392057952685+0.03279189868447212*I,0.006152376404687569+1.7708177050521472*^-9*I
"OSC-mathematica",35,11.699999999999973,1.0471975511965976,51,0.22108302035311417-0.13698698812458657*I,-0.013216994392435146-3.076394650488287*^-7*I,0.006461954837398021-1.3334997399314328*^-8*I,0.005524499263491095+0.033013380121431284*I,0.006461954837410411
"OSC-mathematica",35,11.799999999999972,1.0471975511965976,51,0.21064803881041427-0.13719231385387481*I,-0.013723635968666981-2.9912307754939286*^-7*I,0.006713720726898513-1.5901851529669714*^-8*I,0.005375153680913071+0.033227310399209155*I,0.006713720726994717-3.168994227809486*^-9*I
"OSC-mathematica",35,11.899999999999972,1.0471975511965976,51,0.20029701120700888-0.13688373261683157*I,-0.014121094104950492-3.604698993059706*^-7*I,0.006910296033686789-1.9127020354282276*^-8*I,0.005253879617454258+0.033433489299353934*I,0.006910296033583209-7.21046677171598*^-9*I
"OSC-mathematica",35,11.999999999999972,1.0471975511965976,51,0.19005096866541654-0.13608246019226175*I,-0.014414664966173206-3.0322863410344905*^-7*I,0.007054904390355759-1.681679345547854*^-8*I,0.005159258385088836+0.033629377574333506*I,0.0070549043904008304-6.013342939616484*^-9*I
"OSC-mathematica",35,12.099999999999971,1.0471975511965976,51,0.17993032290043565-0.13480855474504397*I,-0.014609965461272679-5.473426370939105*^-7*I,0.007149699662085791-4.694995996653295*^-8*I,0.005088262028207604+0.03381647041828249*I,0.007149699662111431-3.7040250922835586*^-8*I
"OSC-mathematica",35,12.19999999999997,1.0471975511965976,51,0.16995273078079073-0.13308229854857423*I,-0.014712655944986927-9.851464844270119*^-8*I,0.007197412202936883-1.3346187217735018*^-8*I,0.00504015756966363+0.033994331159695405*I,0.00719741220296586-4.348584668394739*^-9*I
"OSC-mathematica",35,12.29999999999997,1.0471975511965976,51,0.16013516815419712-0.13092310908852806*I,-0.014726050763769287-4.246250687733141*^-7*I,0.007200776517808417-1.5577755306568918*^-8*I,0.005012627209518081+0.03416171151443635*I,0.007200776517810661-6.83335542638441*^-9*I
"OSC-mathematica",35,12.39999999999997,1.0471975511965976,51,0.15049189356752873-0.1283530534902741*I,-0.01465750335910181-2.1592745630400485*^-7*I,0.007162570916360387-6.7112897238126805*^-9*I,0.005005782002015127+0.03431798576964473*I,0.007162570916554915+1.2620918326237307*^-9*I
"OSC-mathematica",35,12.49999999999997,1.0471975511965976,51,0.14103581833807524-0.12538937937207192*I,-0.014510020526915164-9.158690037372011*^-8*I,0.007085065525602948-5.848281779739435*^-9*I,0.005016924191967271+0.034462252241753866*I,0.007085065525692127+1.7510685642261884*^-9*I
"OSC-mathematica",35,12.59999999999997,1.0471975511965976,51,0.13177796682856632-0.12205199953844328*I,-0.01429083751375928-4.530077863537385*^-7*I,0.006970504512016314-2.5409156254610126*^-8*I,0.005044098272542328+0.03459630062333564*I,0.0069705045114517895-1.839029333754443*^-8*I
"OSC-mathematica",35,12.699999999999969,1.0471975511965976,51,0.12272988088800936-0.11836176124270908*I,-0.014001582118646012-5.522609577761021*^-7*I,0.0068214468582702345-2.6997959405290493*^-8*I,0.005086208074560549+0.034719316743901774*I,0.006821446858493889-2.0252743266338873*^-8*I
"OSC-mathematica",35,12.799999999999969,1.0471975511965976,51,0.11390008735060905-0.11433581999588824*I,-0.013646744713526374-4.370783211914318*^-7*I,0.006640452796924538-1.8090562941830743*^-8*I,0.005144454934288913+0.03483066852686209*I,0.0066404527970156425-1.184683365636356*^-8*I
"OSC-mathematica",35,12.899999999999968,1.0471975511965976,51,0.1052963300398268-0.10999310584714442*I,-0.01323365818684014-5.1400444756998*^-7*I,0.006429533215857309-1.8255803197265296*^-8*I,0.0052163122140120805+0.03493049988719773*I,0.006429533215506818-1.259709433977679*^-8*I
"OSC-mathematica",35,12.999999999999968,1.0471975511965976,51,0.0969262208657407-0.10535093747108214*I,-0.012765042369544037-3.305048954375598*^-7*I,0.006190896558697947-7.033793370952281*^-9*I,0.005301608837713236+0.03501794716664007*I,0.00619089655806555-1.6961278523246953*^-9*I
"OSC-mathematica",35,13.099999999999968,1.0471975511965976,51,0.08879410459699097-0.10042815649714334*I,-0.012244183456023664-1.453519162003277*^-7*I,0.005926386892027163-1.958759327819193*^-8*I,0.005395967078779945+0.035093992430391796*I,0.00592638689229813-1.243115386359172*^-8*I
"OSC-mathematica",35,13.199999999999967,1.0471975511965976,51,0.08090412199852662-0.09524035136403869*I,-0.011675890124690422-6.969733122030996*^-8*I,0.005638112989395521-1.6431014293893266*^-8*I,0.005500992509078034+0.03515942047213084*I,0.005638112987896026-9.785388835470675*^-9*I
"OSC-mathematica",35,13.299999999999967,1.0471975511965976,51,0.07326256629911024-0.08980603313549308*I,-0.011064002215324567-1.1190073640291375*^-7*I,0.005327890359451984-1.6362071646451837*^-8*I,0.005615591431861458+0.035213861873753215*I,0.00532789036080656-8.809682790235162*^-9*I
"OSC-mathematica",35,13.399999999999967,1.0471975511965976,51,0.06587068809294774-0.08413917803261078*I,-0.010412311905284913-6.548507978180883*^-7*I,0.004997481954130658-3.429140754437944*^-8*I,0.005737875761915641+0.035258653283185115*I,0.004997481941430914-2.7584826804370336*^-8*I
"OSC-mathematica",35,13.499999999999966,1.0471975511965976,51,0.05873104589748243-0.07825505195639722*I,-0.009722994702838626-7.372053324861086*^-7*I,0.0046488667928623675-3.920947918024165*^-8*I,0.005868418749576744+0.03529098942315945*I,0.0046488667724164864-3.308990699912639*^-8*I
