Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,10,na,na,3.101694915254237,0.0,0.33180083462136645
OSC,BDF,0.001,1e-06,10,na,na,3.1694915254237284,0.0,0.3542936148760033
OSC,BDF,0.001,1e-06,10,na,na,3.23728813559322,0.0,0.3774618449974743
OSC,BDF,0.001,1e-06,10,na,na,3.305084745762712,0.0,0.4037826330829121
OSC,BDF,0.001,1e-06,10,na,na,3.372881355932204,0.0,0.4406291227469892
OSC,BDF,0.001,1e-06,10,na,na,3.440677966101694,0.0,0.4771633347398119
OSC,BDF,0.001,1e-06,10,na,na,3.5084745762711864,0.0,0.5192134575905907
OSC,BDF,0.001,1e-06,10,na,na,3.5762711864406778,0.0,0.5667589819439928
OSC,BDF,0.001,1e-06,10,na,na,3.6440677966101696,0.0,0.6033688525195412
OSC,BDF,0.001,1e-06,10,na,na,3.711864406779661,0.0,0.6455022060547871
OSC,BDF,0.001,1e-06,10,na,na,3.7796610169491527,0.0,0.6930837124766266
OSC,BDF,0.001,1e-06,10,na,na,3.847457627118644,0.0,0.7438301219411015
OSC,BDF,0.001,1e-06,10,na,na,3.9152542372881363,0.0,0.7996006699712739
OSC,BDF,0.001,1e-06,10,na,na,3.983050847457627,0.0,0.8305159142543701
OSC,BDF,0.001,1e-06,10,na,na,4.0508474576271185,0.0,0.8566871904474068
OSC,BDF,0.001,1e-06,10,na,na,4.118644067796612,0.0,0.903900716442372
OSC,BDF,0.001,1e-06,10,na,na,4.186440677966102,0.0,0.9052274591210044
OSC,BDF,0.001,1e-06,10,na,na,4.254237288135593,0.0,0.9319789727746256
OSC,BDF,0.001,1e-06,10,na,na,4.322033898305085,0.0,0.9462083193141524
OSC,BDF,0.001,1e-06,10,na,na,4.389830508474576,0.0,0.955753390434662
OSC,BDF,0.001,1e-06,10,na,na,4.457627118644068,0.0,0.9366676016966176
OSC,BDF,0.001,1e-06,10,na,na,4.525423728813559,0.0,0.9338127275875324
OSC,BDF,0.001,1e-06,10,na,na,4.59322033898305,0.0,0.8799318573722779
OSC,BDF,0.001,1e-06,10,na,na,4.6610169491525415,0.0,0.8739867692209742
OSC,BDF,0.001,1e-06,10,na,na,4.728813559322034,0.0,0.8474769156505689
OSC,BDF,0.001,1e-06,10,na,na,4.796610169491527,0.0,0.83682151981717
OSC,BDF,0.001,1e-06,10,na,na,4.864406779661016,0.0,0.8170803718080919
OSC,BDF,0.001,1e-06,10,na,na,4.932203389830509,0.0,0.7951160770047696
OSC,BDF,0.001,1e-06,10,na,na,5.0,0.0,0.7866544010771951
OSC,BDF,0.001,1e-06,10,na,na,5.0,0.0,0.7866544010771951
OSC,BDF,0.001,1e-06,10,na,na,5.4237288135593245,0.0,0.5670841070114669
OSC,BDF,0.001,1e-06,10,na,na,5.847457627118644,0.0,0.4060600346459373
OSC,BDF,0.001,1e-06,10,na,na,6.271186440677966,0.0,0.2864412985411093
OSC,BDF,0.001,1e-06,10,na,na,6.694915254237287,0.0,0.2239411380450963
OSC,BDF,0.001,1e-06,10,na,na,7.118644067796612,0.0,0.1848038909229341
OSC,BDF,0.001,1e-06,10,na,na,7.5423728813559325,0.0,0.16321271819584615
OSC,BDF,0.001,1e-06,10,na,na,7.966101694915254,0.0,0.14955332708816502
OSC,BDF,0.001,1e-06,10,na,na,8.389830508474576,0.0,0.1470173142819022
OSC,BDF,0.001,1e-06,10,na,na,8.8135593220339,0.0,0.14660633055677127
OSC,BDF,0.001,1e-06,10,na,na,9.237288135593221,0.0,0.14844637149931186
OSC,BDF,0.001,1e-06,10,na,na,9.661016949152543,0.0,0.14971737365426
OSC,BDF,0.001,1e-06,10,na,na,10.084745762711863,0.0,0.15258132263012164
OSC,BDF,0.001,1e-06,10,na,na,10.508474576271187,0.0,0.15507408857573085
OSC,BDF,0.001,1e-06,10,na,na,10.932203389830509,0.0,0.1595217589743088
OSC,BDF,0.001,1e-06,10,na,na,11.35593220338983,0.0,0.16323951914238186
OSC,BDF,0.001,1e-06,10,na,na,11.779661016949152,0.0,0.167357324290784
OSC,BDF,0.001,1e-06,10,na,na,12.203389830508476,0.0,0.16843750309510838
OSC,BDF,0.001,1e-06,10,na,na,12.627118644067796,0.0,0.16987158104200514
OSC,BDF,0.001,1e-06,10,na,na,13.050847457627118,0.0,0.17349460486792495
OSC,BDF,0.001,1e-06,10,na,na,13.47457627118644,0.0,0.1785115428798008
OSC,BDF,0.001,1e-06,10,na,na,13.898305084745765,0.0,0.17967564638510936
OSC,BDF,0.001,1e-06,10,na,na,14.322033898305087,0.0,0.1824818094114943
OSC,BDF,0.001,1e-06,10,na,na,14.745762711864407,0.0,0.1837236107605968
OSC,BDF,0.001,1e-06,10,na,na,15.169491525423727,0.0,0.18554386890915134
OSC,BDF,0.001,1e-06,10,na,na,15.593220338983052,0.0,0.18705818832086168
OSC,BDF,0.001,1e-06,10,na,na,16.016949152542374,0.0,0.18913193003991705
OSC,BDF,0.001,1e-06,10,na,na,16.440677966101696,0.0,0.19242233573239093
OSC,BDF,0.001,1e-06,10,na,na,16.864406779661017,0.0,0.1914306403751644
OSC,BDF,0.001,1e-06,10,na,na,17.28813559322034,0.0,0.19521642408767595
OSC,BDF,0.001,1e-06,10,na,na,17.71186440677966,0.0,0.1975446572449255
OSC,BDF,0.001,1e-06,10,na,na,18.135593220338983,0.0,0.19646733289301813
OSC,BDF,0.001,1e-06,10,na,na,18.559322033898304,0.0,0.1958334667499009
